,actor,num,all_budget,avg_budget,all_usa_income,avg_usa_income,all_global_income,avg_global_income,all_usa_profit,avg_usa_profit,all_global_profit,avg_global_profit
5438,Creagen Dow,1,50000000.0,50000000.0,55181129,55181129.0,55181129,55181129.0,-21857465.0,-21857465.0,5181129.0,5181129.0
5439,Cree Ivey,1,8000000.0,8000000.0,58469210,58469210.0,58469210,58469210.0,26469210.0,26469210.0,50469210.0,50469210.0
5440,Cree Summer,4,249000000.0,62250000.0,675225625,168806406.25,675225625,168806406.25,114666957.0,28666739.25,426225625.0,106556406.25
5441,Creed Bratton,1,38000000.0,38000000.0,13143056,13143056.0,13143056,13143056.0,-34856944.0,-34856944.0,-24856944.0,-24856944.0
5442,Cress Williams,1,35000000.0,35000000.0,22035509,22035509.0,22035509,22035509.0,-14301332.0,-14301332.0,-12964491.0,-12964491.0
5443,Cressida Bonas,1,7400000.0,7400000.0,29874280,29874280.0,29874280,29874280.0,14995806.0,14995806.0,22474280.0,22474280.0
5444,Crispian Belfrage,1,8000000.0,8000000.0,8809407,8809407.0,8809407,8809407.0,-4084749.0,-4084749.0,809407.0,809407.0
5445,Crispin Glover,9,584000000.0,64888888.88888889,1849399232,205488803.55555555,1849399232,205488803.55555555,181592486.0,20176942.888888888,1265399232.0,140599914.66666666
5446,Crispin Layfield,1,40000000.0,40000000.0,2622015,2622015.0,2622015,2622015.0,-39394438.0,-39394438.0,-37377985.0,-37377985.0
5447,Crista Flanagan,4,90000000.0,22500000.0,288500441,72125110.25,288500441,72125110.25,38825448.0,9706362.0,198500441.0,49625110.25
5448,Cristela Alonzo,1,175000000.0,175000000.0,383930656,383930656.0,383930656,383930656.0,-22098885.0,-22098885.0,208930656.0,208930656.0
5449,Cristen Cho,1,10064367.285897711,10064367.285897711,89433436,89433436.0,89433436,89433436.0,-7862444.285897711,-7862444.285897711,79369068.71410228,79369068.71410228
5450,Cristian Aquino,1,3330300.0,3330300.0,4915757,4915757.0,4915757,4915757.0,-3329463.0,-3329463.0,1585457.0,1585457.0
